<<<<<<< HEAD
id,label,transcript
205,Proud,"Erika Kalina bikin parfum. Marki tariffi o ya, nekolah-gura sih bersama. Krucita. Tama di sini adalah comfort zone. Ini wanginnya lebih pagi-pagi, santai, Dripini notes, notes, itu ada bergamot, ada alde-hyde. Sabah study middlenya itu ada rose. Dendipa base note itu ada sandalwood and white mask, tapi semua notes itu terkrafa oleh sih white masknya yang super strong. Kau bukan kerosene, tapi orang yang suka, aku kasih koronnya ini mampu menjelapan About last night, ini untuk mengingat paham pisi semua lah Gui, orangnya tuh gue disini topnotesnya itu Orgapot Damping Pepper di middlenotesnya Orang blasem Jasmine and Vanilla, di basenotesnya itu ada Selain mud, cafe, and patuli, memang yang paling tercum adalah Vanilla-nya Gini ini lebih karam black opium Tapi gak minit sama black opium tapi kayak satu family sama black opium Blasem but not least, ini adalah satu yang saya suka Tuk with you, yang ini ingin dah banget Dan ini mengingat karam kusama, yang ini serjuaf yang air bapura Dan note-note-note-nya ada disini lah Bergambang lemon orange, tapi yang yang gak orange-je, atau citrus-je gitu ya Di middlenotesnya, fruity, dan di basenotesnya Yang boleh mas air vanilla Kadi yang about last night, ini aku kasih score 745 Tuk with you ini aku kasih score sambilan, benar-benar"
206,Trust,"Ini dulu adalah aknespot, underlan kita semua. Karena teman-teman ini di tipik pasti udah banyak yang tahu. Terus tautunya sama mereka di discontinue dan rame banget yang mereka mau ada kecewa semuanya karena ini di discontinue. Lama banget! Lapang tahunnya mereka kambak udah menang kekegini yang lebih mewah dan juga formua yang lebih gong. Sekarang mereka mengeluarkan lagi aknespot, yang bisa diandalkan juga dengan ingredin yang lebih poten ya. Karena sekarang ada 3 times assetnya di sini. Jaitu selalu selik asset, lampik asset dan lukeponolakton ya. Semuanya pasinya untuk merendakan jerawat tapi berhubungan aku lagi gak ada jerawat. Alang ini cuma nandak kayak bakas-bakasnya aku cuma akan ngasih tau aja informasi ke kalian. Waktu apa ada jerawat? Ini bisa membantu mengempaskan jerawat aku dalam waktu 3 hari. Dan itu kejadiannya waktu seperti waktu bertanggung. Tapi buat kalian yang selingga ada hormonal akna atau jerawat yang suka batu-batu mendadak gitu, ini bisa banget dijadiin skincare rescuer gitu. Karena ini bagus banget salah satu aknespot terutemen yang bagus banget. Norrta-kola di skintifik dan cocok banget untuk menggantikan ini. Karena yang paling bagus ini sih, ngorrta aku sejauh ini aknespot dari skintifik. Jadi dari pada kalian mencet-mencetin jerawat lebih baik kalian totalin jerawat-kalian dengan menggunakan pronduk ini seperti ini super simpo ya. Segian itu dan kayak."
207,Trust,"apur-apur! Aku ada ujitnya produk terbaru MSGlo tapi bukan di kulit aku karena kulit aku tidak ada permasalahan keku zaman aku minta ken paket produk MSGlo yang terbaru ini di puat 377 moisturizer selama 1 bulan dan kalian harus lihat programnya ini di minggu pertama ini di minggu kedua dan ini after 1 bulan kelihatan, progestnya tapi kalau dipake lebih lama lagi, bakal lebih oke lagi disini itu juga dan dia senemai dan terlalu neksamit asit dan MSGlo sudah melakukan kini kautas juga si wajah itu jadi warna lebih rata kira hitamnya berkurang kita lantak ke warna kulit kok ada bakas jerawat itu juga dia bisa membantu penyamarkan kekejingnya itu sekarang upgrade banget MSGlo dan texture dari moisturizernya nggak terlalu tipis gitu jadi kayak akal ada FA kelem dapet di kulit kita ini bisa dipake pagi dan malam hari kegeri diensnya gak ada yang kayak bikin sensiatif sama caranya malah hari kalian bisa pakai ini di pagi hari sebelum kalian pakai sunscreen nah ini texture seperti ini ya guys dan kenal selanjutnya terus pakai ini karena dia suka nggak ada rasa FA kemungkinan membuat dia kayak perjeng atau editasi atau kalau kalian mengelitik gitu overall itu juga produk yang ada masalah kekusaman berhita, malam kekas bakas jerawat kesalahan juga perlu dari MSGlo ini kesekian terima kasih banyak untuk nonton"
208,Surprise,"baru lihat packagingnya aja I'm falling in love And finally I have this product Ini susah banget di carinya ya Ini perfimi belah hadit Dan saya sebagai Pasha Hadad Ha harus merifiknya Prodigyum belah hadin Ini ada Orbel Perfume dan aku punya semua fariannya Tapi aku tuh penasar, daik Kira-kira Mana yang paling favorit aku Dia ini bukan sekedar perfume Tapi dia tuh kayak lebih ke alas Fragrance oil Jadi kalau kalian mau pakai, kan harus shake dulu Terus kalian sempurrotin Suka massage Jadi dia bikin kulit kelihatan Glowing-glowing juga gitu Maya gata ini ya Lahat-lahat Wingo-to-so Ini wanginya Very soft Apa yang pertama di impression yang Warnanya balaku suka kayak ini Kasi-nya sebelumnya udah coba perfume orang belah ini Karena karena ini tuh kurang lebih lima Sampai 6 jam Karena dia memang kalau di soft Dibanding, kayak intense fragrance gitu Cuma karena dia Nempel kayak oil di kulit gitu Jadi walaupun searchin Projeksion yang nggak terau jam breng Tapi kalau Longevity dan juga intimesinya Itu dapat banget Jadi kok orang deket sama kita gitu Pasti akan kecium baunya Ini note-note-note-nya ada disini adalah Top note, ada garani umba Maman sama min Di middle note-nya ada demas rose dan jasmin Dan di base note-nya ada Tonkabin Jadi wangi creamy and sweetnya itu dari tonkabinnya Di perlembut dengan wangi rose Di wanginya belah ada ternyata tuh Paya kayak lebih zen Kau suuut Kau hanya ke arah manis Tapi manis zen ya Terlalu teman-teman Salute muse, aku udah cek Salute muse ini yang paling banyak Dapat awal dan paling jadi pakorik banyak orang Aku udah coba First impression aku tuh langsung kayak Ini sih wangi, wangi, wangi, hotel, merwak Zen, greenish, gitu terus kayak Sage Aku representing something yang membuat kita tuh Terlang Bukan Bobo inti bidating Powerful M independent woman itu bukan Pada yang ngebaib melahadi di gimana Ini wangnya representing belah hadit gitu Top note-nya itu disini ada C-Salt, Pink Pepper, C-O-2 Extra, which I don't know what it is Tapi kayak, C-Saltnya kecil banget Di middle note-nya ada Olive 3 Accord, Fick, and Lavender Kati-sit Zen, Zen, Zen, Zen Di base note-nya ini ada Sedar, Sandalwood and Amber Mungkin greenishnya tuh karena ada C-Salt, Olive Greenishnya juga bukan yang terlalu Kayak, Bobo untuk lu hujan itu nggak Tapi bener-bener aku balance banget Bawnya dan baunya itu Mura hens sama sekali Ini yang paling aku tunggu Nightcap, karena warnanya tuh Warna chocolate pakorik aku Kalau misalnya botolnya belum di shake Dia kuala-kai gini, tapi pas udah di shake Royalnya akan kayak keluar gitu ya Gak sabar mau cimek ini Oke ini juga kurang lebih wangnya Zen, Sweet, ada Samutin yang kayak krimi gitu Top note-nya di Nightcap ini ada Ginger, Cardamon, dan ada Whitewood Terus di middle note-nya ada Worm blend of vanilla sama Cheese Tuss Dan di base note-nya ada Sandalwood Empaculi, jadi ya Tapi aku bilang ga Sweet Vanillanya ada, terus kayak ada mudinya Tidak banget So far belum ada, aku nggak suka Kita terakhir ini adalah Yang Blooming Fire Mua warnanya warna chocolate-choco Aku banget cinta banget guys Oke, final liyang ini bukan wangin Zen Tapi ini wangin Beburu pora Pasti yang akan menjadi Power for it Warga Indonesia Cinta wang i pora Aku bisa banget mengkum Ada Jasmine di sini Top note-nya di sini ada Bergamot, Sandalwood, Twelve leaves<|id|>,,<|id|> obscure,<|id|>�kar damon Dan di middle note-nya di sini ada Bonoy and Jasmine, Jasmine itu selalu 2 minan Model di topnot, middlenot atau basenot Basenotnya ada, Pak Culi Tapi jujur, first impressionnya adalah It's a floral Jasmine scent Dan yang ini yang paling beda Fibesnya dibanding yang lain Tapi overall, anasli ga ada yang aku gak suka Wanginya benar-benar enak semua Soft and soft and very representing Belah hadit gitu loh Kayak harap tau kan, Belah hadit tuh kayak Characters, Nackerel, Indulokin, Full Ini wang-wanginya tuh wang-wangik kayak gitu Semuanya, endule para Dan pake jenisnya tuh berat Unik, Nyan 3, Cantik, Estetik Udah ngerti lagi, ini paham fung perfect banget Semuas kornnya dari aku 9 Pak Nacku kecintabel hadit Kalau kita nyafakol, aku yang mana Soft and soft, naiknya ini adalah pahol, takut dari sebea Estetik Botol dan juga sebeuanginya Karena ini ada mix of some yang terang Tapi juga masih sweet banget Check well, asa chili, kaya ini Aku excited banget, karena ini nyari itu suka-barak Teperno-porti, kalau kalian mau jas tip Ayo jatih, kalau bingkat Marek kita tak korra-belah dan Belah hadit bersara-sama Biar rauh king di Indonesia, please Karena ini pasti karketnya berbatian suka Wanginya, Belah hadit, Nyan 2 semua Jangan aku menemukan wangit perfume yang Ini tuh blind by semua Tapi nggak paham seharan Dan nggaknya beling gitu, bau ini nggak yakin Itu salah sekali Wangnya berukah dan setan dan beautiful Semua sesuai sama yang bikin Dan sama-sama yang ritu Skini fudori saya Bye-bye, everyone Naksnyeri fupar kemabar lagi"
209,Trust,"Drip, out, kualitas, aku kayak gini gara-gara dead. Gak, temen-temen dan ini ditunggu sekali review-nya. Awalnya aku cuma mempakai selama 2 minggu, ya. Terus melihat hasilnya. Karena gini, kalau retino itu tuh rumah yang kepergisuh lokal dan hasilnya. Tapi ternyata aku mengami fast berekout atau perjeng dulu di awal kayak gini-gini-gini-gini. Dan setelah melawat di fast itu baru kualitas aku tuh menjadi kayak lebih membah, lebih pencurang, lebih glowing. Mgunakan retino-nya gletuglow moisturizer ini. Terus kalau kalian lihat, ya ini tuh masih beda banget. Karena memang makanya tuh sedikit banget, jadi gak perlu heboh gitu ya. Tipis aja makinnya. Bakan di awal, aku pakai siap hari, abis lama kramah, aku pakai itu cuma seninggu, 3-4 kali aja ya. Karena kulit aku ngerasa itu kayak butuhnya segitu aja gitu. Terus makanya tuh senging misinya aja, dipakai di malam hari. Dan bagi harinya jangan lupa pakai sunscreen. Progress jadi aku itu sudah ternyata terlalu 1 bulan kata seperti makayan. Tapi banyak banget yang bilang aku juga, kalau... Gak, di aku langsung cocok. Aku suka banget sama Mocha Azari. Dia emang pasti banget, orang-orang beda-beda. Nah kalau pengalaman kalian sendiri gimana, kalian bisa komen di bawah aku penasaran. Cuman overall, finally kulit aku kembali healthy and shining shimmering squandit. Ini masih sedikit sih, bakas jerawatnya. Cuman udah tinggal bekas yang rata gitu ya. Kadinya ini udah beri-bereka lo para. Anak sekarang udah beri-berega ya. Jadi, final for deepnya. Disis, Tasha Parasia April, karena aja sangat terjangkau. Jadi, buat kalian yang usiannya udah di atas 25 tahun dan mencari. Tino moisturizer yang terjangkau bisa banget coba ini. Dan kalau misalnya ada perjing, udah di atas 8 minggu. Jadi kalian stop aja, kalian gak ceritok. Tapi kalau misalnya baru 3-4 minggu, kalian misalnya jetin menggunakan aku. Mampai menelakan hukat buat yang seperti indang. Saya juga bisa share review kalian di bawah untuk yang lainnya membaca. Jadi, makin langkat review saya ini. Sekian teman-teman."
20,Surprise,"kami ditahan oleh polisi di Daerah Kambuja ya semotor bermula, pas kita lagi arah mau solatan juk at dari sini dan kemudian pas berjalanan ada rajia lucunya adalah mobil lain semua lewat, tidak mobil kami di panggil untuk berhenti kemudian ternyata langsung lihat hal biasa, dia kemintan namanya SIM pas kita datang dari border tenda ke Kambuja kami tuh sudah punya SIM yang diberikan dari biak border ada muka nya, ada foto mobil nya, ada di belakang no, no, no, Kambuian license, dia butuh SIM Kambuja kita memang tahu SIM Kambuja, tapi kita punya SIM intrasional nah, kemudian bangrit unutannya, oke, kalau SIM Kambu nya gak ada SIM intrasional ada boleh gak oh yes, yes, ini yang kita butuhkan bangrit, wang keluar kan SIM intrasional nya dan diberapa? oh, no, no, no, no Kambu dia karena di dalam SIM intrasional, memang gak ada kesana negara cuma betul sih SIM intrasional dia bilang gak ada kambu dia yang gak bisa akhirnya kita cukup panik, kita kontek sama orang lokal yang memang udah lama di Kambuja memang dapat isu ya, bahwa memang polisi di sini itu memang suka banget dia untuk ganggu lah isilah nya kenapa kami bambah begitu? karena pada akhirnya selang beropanya kayak lebar, kan ada kesalahannya kita punya SIM intrasional, tapi memang disangat ada tujuan kambu dia akhirnya minitala 300 dolar mahal banget dong, itu kan main ya untuk harga segitu ya kita mintak nego dengan orang lokal ya dapalah harga di 50 dolar dari itu pun gak sesa, yang biskasi duit itu pun pas mau keluar, dia masih mintak lagi dengan wang rokok ya, sekitar 4 riburil yang gak salah ya wang lokal di sini dan kemudian belum sesepen sana di dalam SIM, saya sih sih itu aku lagi lepon saja, lepon orang lokal buat mintak datang ya itu disuruh no foto, no foto yang aku gak foto, aku lagi lepon dia bilang sini hapingnya, dia habis haping dia buka kaleri bukti kalau kamu gak foto mereka dan mereka tuh pas ada tim kita datang juga mereka tuh mati matinya pokoknya gak boleh ada foto sama sekali kan menjelikan kan ya, kalau memang itu rancang legal kenapa aku di foto? so ya, itu lah, kisa kita di kambuja untungnya kita semua bisa kembali dengan selamat ya, kambuja sungguh penuh kesan kita lanjut lagi, menurut juga border mari kodnya"
210,Trust,"hati akan bantu正i nih ANA DERczenie terkira udah ketawa kembali ke laporan yang lain iya attack ini agak meru ya, putih berbual bagian jingung sempa hal ini. Tapi yang sekarang anting laptop, ibu, chor, dan antik seluruh pesah yang pernah dikeluhkan kalian. Tapi tau gak sih kalau MOP itu masuk ke Tokten, besar lebtin Indonesia. Dia aku tau, bapak yang mencintai formulnya dari lebtin ini. Kalau yang mau sahu hati, karena formulannya tidak berubah. Dan semua orang-orang pemerikaran tetap ada di sini. Tapi, terus dia pake jingung sekarang. Ini ini ya, guys. Dan kok kalian tarik atas. Ada area yang meleber-leber lagi di apa sini. Perpikan formulannya tetap transfer-proof. Dan terlapak gelasi, ternyata karena banyak-banyak di bibir-bibir. Tetap bisa mana-mana kalian dari AM-2PM. Dan di dalam negara, di dalam bibir-bibir-bibir-bibir-bibir-bibir-bibir-bibir-bibir. Saya hati, tidak. Keringannya, comeback stronger with better packaging. Cuma lebih kecil. Kita juga udah ngapaknya hologram di sini, kalau kita kelas. Dia gak ada yang melatuk-melatuk lagi. Hari ini, itu aku pake staycation, terus aku ombre sama night ride. Untuk melabarkan hasil sepertinya. Dan pastinya ini tetap transfer-proof. Tetap gelasi, cantik, banget di bibir. Udah hotel-belah hari ini. Jangan lupa di checkout. Karena ini juga salah satu perut emang-perut yang cepat-balas. All outnya, walaupun baya kan komple yang aku jauh di mumpik. Kek, makasih atas kesat piannya dan kesabaran kalian menunggu kita dan di packaging. Semoga setelah dan di packaging, semakin baya-kian mencintai AM-2PM kalau fast hyper tin dari Maderover. Tunggu keberakan yang mau perselanjutnya."
211,Trust,"Tapi lihat kecil, tapi nih alkannya Di luar itu Ya, buat kalian yang nontonin pori aku Kau sih kau udah tau masalah utama hidup apa sekarang Ada perut aku yang buatet Tapi tenggat aku juga konsultasi dan ternyata rumah masalahannya Alah untuk kepentarainya aku terus penghindari Apa pun juga nangandung lakusah Tapi masalahnya, ampir semua itu nangandung lakusah gimana dong Jangan sedih tonton man Aku udah nangkatin pasurisi Terlapikan aslim Almond Drink Maksudnya dibangkok aku cobainnya O drink, ikut enak banget Dan namanya apa yang kamu ngering ini juga enak banget Biar aku tidak merasa, perusiksa sama sekali Harus menghindari lakusah Karena dia lakusah, masuri dan juga super-free Tapi masalahnya enak Ampersimu tapi kanasnya enak Dari selesai coklat yang suka Semuanya aku suka Sekarang ot drinknya ke suka Bulannya juga aku pakai Almond, masalahnya memang yang mereka tuh Uuk, berinolfasi untuk orang yang lagi Mau mengurangi berat badan dan menjaga kesempatan Tapi, masalahnya tetep enak Jadi emang tropikan masalah ini Ada solusi buat tangan yang bapisnya menungusu Dan kalian tidak dapatkan kebaikan Almond Dan bagaimana kembung Dan bagaimana menungusu Super-free, love, tinggi serat Dan mengandung proteknya lebih tinggi dari Almond Drink Ainnya pula Tapi kalau aku yang belum tahu nih Almond itu adalah super-food yang banyak juga hasilnya Menurunkan cholesterol, menjaga kesempatan jantung Mengendalikan kader-gula darah Bering karakter foksi otak Dan juga bisa membantu menurunkan darabadan Masih banyak kakuk benar-benar lainnya gitu Jadi buruan beli di Alpah Mark Karena lagi ada promo dan 2800K segera di Welcome Jack Danganım"
212,Surprise,"dari saku nggak tau nih aku yang kusper atau gimana atau yang gue udah beritau minggu lalu kalo ada snack nama aja ya apa apa dan ngomong-ngomong sih kalo ini tuh enak banget dia ada lima fariannya pertama ini nipis pedas ada yang original terus ada yang pakai seaweed sama yang tapi tangga tapi aku berita aku ini ini nasah hany butter gue enak banget oke, aku bisa ada kayak kalian tuh hany butter kini manis asin guri dan ini aku yakin kayak tipe-tipe senake gitu yang bisa dimentakan kekewarga bersama terus aku bikin experiment gitu sama anak aku aja ya, ini bikin nasah tarah gak atnya kita lu bang japo-tana coss ini cilang terbaru tab-jat tab-jat tuh kalo digini minan sama pengen praya kalian udah harus coba pakai bumbu nasahnya coss banget ya, dia ada gincincangnya gitu ada apu katurat omat ada segala macem ketemu-ketemu japat-ketemat enak banget guys hmmm hmmm hmmm so yamin nanti aku akan turin jen rusepnya di komen darikan dari kreat ini bukan rusep aku sih tapi bernyerep kincin itu ada di japo-tanya harus aku original jadi gak merusak kutarasa gitu dan kalau misalnya lagi dapet japo-tanya kayak gini-dolong yang paling ga ada papak setelah enak rasanya jamin kalo nanti kita kasih réaction東 ya, iya mungkin terlihat disappointed Google wp personne darisan"
213,Surprise,"Desa 1 pujian yang lebih aku tunggu-tunggu dibanding di pujuangi Yaitu di pujir ambut badai Rambut aku tuh sudah mengalami fast kerusakan Selama 3 tahun Finally, my healthy hair era is bad Bela kangan ini Baru aku bisa mendapatkan pujian rambut badai lagi Flah aku menemukan shampoo yang terpat Ini aku nggak rammati siar tapi beneran kalau aku lagi mager Aku nggak roik-roikon di syarapun Rambut aku bisa sefluffy And shiny ini Shop banget aku Dah yakin banget kalau ini tasha-parasha approved Oh sweet! Dengan beberakan barunya Jelutnya yang viral banget ada yang jenjer Itu buat kerontokan Ya aku pakai ada Sopo-sopy Polyumizing shampoo Yang wanginya itu win-blue bel Wanginya juga enak banget Awet banget Beber sama rebak wanginya Tunggu sini itu untuk polna Nuttus hair texture Sopo-poh hair Desa beneran banget Tapi kalau untuk subar-hair-grew Pakinya butuh waktu ya Yang nggak mungkin di beda-beda dan sehari Tunggu subar-hair ini itu nggak Setelah roostin maka ini Aku nggak merasa kayak baru kemarin Terabak aku kepercaya sors Mab, di beda-beda kalau udah lebih cepat di tulang panjang ya Kembali terlihat itu adalah ke shinyannya Dan keflaviannya yang sangat indah ini Kalau kalian nggak mencari yang untuk hair grot Dia ada dua pariannya yang lainnya Dengan wang yang berbeda juga Ijo ini wang yang kos-mantus Ini untuk dendrah Jadi buat kalian yang ketobang Karena saya pakai yang Ijo ini Terutnya satu lagi ini Untuk semua denger-tenger Dan diperkaya dengan anti-oxidant Dan ini wang ini wangis Sakura Tapi aku nggak akan bahas doain nih Karena aku tidak menggunakan yang ruain nih Aku akan bahas ada yang biru Gong banget wang ini dulu bel too Dan nerekanya mirip sama komiser-osuit yang jenjer itu Tapi ini shampoo Bahagung banget ya Dia nggak mau berkata Tantangnya ke pusutan Kafi, tindah dan yang paling penting Ada lah finalnya Mutak aku bisa di uji rambut badai lah Gita siya healthy hair era It's back Kalian recommended Harganya itu 172 nama Agak mahal sih tapi ini 300 mili Dan kalau buat orang kayak aku yang keren Maksus enggak alih aja Ia waktu yang terabung gitu Sekiya informasi dari saya Dan semoga ini bisa membantu kalian yang Maksudnya di demay Dan sudah disperi Kalian bisa bahwa coba ini Rambut seancur aku aja bisa lihat Kau orang yang udah seancur aku Apalagi rambut orang yang sehat Tapi lah pek makhlatan fluffy dan gula dan shine Coba in nama-nama Oh sweet okay"
214,Proud,"kita tunggu ramai Hello everyone! Oh my god, ini aku dah lama banget Gak... Pake produk andalan aku di bibir Demilife kali ini Karena finalnya aku bisa spiel Rahas ya bibir aku selama ini ya Ini bibir aku yang asli sebenarnya Bibir aku asli sebenarnya tuh kayak gini ga? Guys, bukan kak Guys, ya Finaly GWS Extera Is launching Day dan harganya Cuman 7,7 ribu Kalau harus liat ya, liat nih bibir aku Rahas ya bibir aku selama ini Di semua konten aku Di opening konten video aku Di setiap aku bare face Itu aku pasti pake GWS Extera Ya aku udah gak kuat Sebenernya Mosbio Sampai aku bare face Sekarang ya Ini sebenarnya aku udah Punya lama Oh my god, jatoh Sekarang bisa ga? Bisa ga, guys Oke, sekarang kita akan terai on ya Harganya lagi 7,7 ribu di shopi Jadi Kalian abis tonton live aku Aku cuma mau live sebentar aja Abis live aku kalian Harus langsung check out di shopi Ini dia tuh clear gloss Tapi dia color changing Dan dia akan bikin bibir kalian tuh kaili gener Taman-taman Udah siap, kalau udah siap Komen dulu siap Siap, siap, siap, siap Lihat ya Mau pake di atas dulu ga di bawah dulu Atau akan gini dulu, sekarang kalian sekerin coba bibir aku Pucat, terus tipi senggak pelambi gitu kan Sekarang aku akan pake in GOS Extra di bibir bawah dulu Mardingak Kenapa dikasih nama Extra? Karena dia ada extra cooling sensation Yang kayak Dinginnya tuh nulipis-lipis yang Udah ke arah-bama Stokan yang makin dingin tuh kayak jadi panas Kalo orang udah ke panas sama jadi dingin gitu kayak Nah itu border lain kayak gitu Dan lama-lamaan dia akan color changing dan Latuh Lihatnya bibir aku langsung segera gini Kuala tan kan bedanya Tuh Gombat ga Dah baik mau cek out Oke, thank you Chris, langsung cek out aja Udah katanya bibir bawah aja udah katanya Nah sama perlu ya ada GOS Extra atau nonton Jadi dia ada warnanya Warna menyerupai bibir Kalo bibir asli aku kan pucat gini Bibir bawah aku nih yang udah pernah GOS Extra Jadi kayak lebih fresh Tapi tetap kayak warna bibir asli gitu Kalo misalnya di swatch ditangan Dia tuh warnanya nadi akan berubah sedikit aja Ini ya kita tunggu, anyi dia akan berubah warna Sekarang ini yang paling penting di bibir atas Karena bibir atas aku tipis banget Kita akan pakaiin GOS Extra Ini chatet namanya GOS Extra GOS Extra GOS Extra GOS Extra GOS Extra Yes GOS Extra Ini kalo bibir agak item gitu tuh kayak tipis gitu Sehap sehap ya nih star lu star lu Toh Yang belanya Masuk Oh Oh Shadenya ini namanya firey pitch GOS Extra cuma ada satu Shade ya Ini GOS Extra Buat bibir gelap gimana lihat ya ini bibir aku Berubah warnanya tuh Terus mbesi dia makan plambi nih Toh Oke sekarang kita akan rosain yang sulit sini Nah setelah kayak Berapa ya aku nanti 3-4 menit Ini bibir kalian akan jadi kayak tambah Bejeding gitu Haganya Kayak right now right now ini 7,7 ribu GONGGA Aku gak pernah gak pakai ini Jadi seber face-face nya aku Selalu pakai ini tetap pakai ini Coba ke bibir yang tutun dong kaa Oke saya niput Oh ya nih yang ditanggan jadi nya kayak idinila di warnanya tuh Kayak satel banget tapi kalau bibir berat banget berubah warnanya Jadi kayak soft pitch gitu nih sekarang kita kan Lihat bibir yang tutun, oke? Iya, bibir yang tutum ya Kamu teman-teman Sedangkan banget Kapal nadanya Sekarang Bada, peel check out Nah Terus Terus Mula pisin ya tuh konyang sengkut-tup Terasa gimana kondoh? Dingingin, dinginin, pede setiap Langsung check out, check out Tudah mulai dingin ya Mula ini gue juga lagi mengelitik Mereka-berungan Tuh, tuh Tuh, tuh Masung plumpi Plump Hmm Gongkan, meretikan Bisa di layer-layer bisa di pakai lip mat bisa di layer lip gloss gawas yang lain bisa Flasel kapansa sekarang juga di shopi Oke Kalau bibir tebel, gimana kakak apa-apa, pakai itu ga apa-apa makin Mertika, langsung berubah banget, mukau gue Guys Yang dipakai GWS extra, terus aku mau kasih lagi gue ke kalian Kalau misalnya lip glossnya aku abus Dia tetep ada stain ya Iya? Jadi bibir kalian gak tetep ada nge-fresh gitu Kayak warnanya berubah ada stainnya ada Kaler changing gitu Ini warna universal Hmm, jadi semua orang ira bibir asli aku tuh kayak gini plumpi dan berwarna healthy Agini padang ga Oke GWS extra, sakit yang live dari saya, langsung check out di shopi ga ada adat Ada sayang Oke Bye Bye, semua"
215,Surprise,"Before... Atau. Tim maskara super extra boke, poli mazing melenging peninggi ini. Atau penemaskaran natural, tapi tetap poli mazing, emang pening juga. Gak lupa pakai tim timan. Ini aku cuma pakai satu maskara yang sama, tapi bisa merebatkan 2 hati yang berbeda seperti ini. Atau! Sampai tak pernah setiap ini? Nggak, aku menangis. Tara! Tak ada yang terasa merasa masuk kali, temen-temen. Torture test adalah kuajiban aku pada brand 1 ini. Kasi lo suuuuup! Max Kara! Setiap aku pakai pasti semuanya, aku pakai maskara apa? Max Kara. Kalian bisa dapetin hasil yang natural, kalau kalian menggunakan 1 layar. Bentuk ini itu ada area yang lebih pendek, ada area yang lebih panjang. Untuk mencakup semua area bulumata kalian, dia tuh kayak sedikit banget melengkuk. Karena kalo terlalu melengkuk, itu tuh reksiko kotor di kelopak mata. Mereka terlalu finis pakai satu layar aja. Dia tetap agam pangnya aku, macam aku semua area sampai ke ujung bulumata aku, temen-temen. Before, after one layar only. Terasa banget ada volumenya, ada lengthnya, dan tetep terlihat natural, tidak ada yang kayak kampik-kampik, terpisah dengan indah, lain juga hitam, tapi ngga air, hitam menyeramkan itu, terlalu anjutin ke layar kedua. Gang, belum spidri, dan tidak kelampi, masih tetep terpisah-pisah. Tapi dia udah mulai menyen tu, alis aku, dan pangbasi layar. Karena dia bukan tipem maskara dengan formula yang terlalu keras, gitu kering. Tapi juga nggak terlalu lembek, jadi nggak lengket. Brutu layar ketiga, karena dia, kok tuh suka maskara yang bisa di layar sesuka hati kita secara terus. Menerus. Mertingga se-shock apa? Before, after. Sekarang kita akan selesain bulumata bawahnya, oke? Oh, my God, bener-bener shock. Aku ada orang yang telah mencoba maskara lebih dari ribuan, maskara yang aku coba. Jadi aku bisa sempurnakan formula, keras sempurna menurut aku ada max cara dari Maduro Spraw. Aku akan kasih yang berbeda, ini kekalihan. Kau juga kekalihan kekalihan, dia berdua super cantik, lengkending, colu, maizing, tapi natural, sesuai, request banyak orang. Ini juga sesuai, request banyak orang. Kalau kalian semua yang sangat extra seperti bagaimana fall slash-as, kalian bisa build up sampai up to you guys. Tapi kalau aku rekommendasiin, 3 layar aja udah cukup banget. Ini memang lebih cocok-cok, kalau buat lagi nampak-nampak, lebih kalau lagi bold makeup, bisa sampai jadi kegini. Sekarang saatnya kita torture test lanjut targulah."
21,Surprise,"Baikker asal Indonesia ini terjemput di border perbatasan Thailand selama dua bulan hari, karena ada akuran baru. Perebitan sebelumnya, kami sudah menyeti darimalaysia dan tinggalin motor di Johor baru untuk lanjut backpacker ke Singapura. Nah, setelah ke ekskwater garasin apa, kami pun lanjut menyetiir menuju ke border Thailand. Dulu yang buat menitaskan Thailand, itu semua normal aja, selama dukung benar-kapa, pasti itu tinggal gampang yang menitaskan border aja. Maserannya adalah, ternyata ada asulan baru yang baru di tegakan beberapa minggu lalu. Mobile di normalaysia ada Singapura, pokok itu di luarnya, wajib ada sulit rekomendasi dari kedutahan. Bahkan di border itu sudah dikasih kontek travel agent buat nguseng kita. Jadi ini memang legal yang garib buat gitu loh. Dan biar itu bahawa, rupanya itu masuk ke border, butuh biasanya 50$ per kendaraan. Sekitar yang lama senang jutaan lah ya. Dan atran ini sudah berlaku di semua border ya, Baikbid, border yang betong atau border yang sadau. That info ini kami dapat dari bangda yang yang udah tertahan berhari-hari di border. So ya, berkak info dari beliau, kami tuh udah ajunnya perniaga sebelum masuk ke Thailand. Ya, kita 4-5 hari sebelumnya ya. Jadi, kovirmasi dah sembunin tas. Pokoknya, thank you banget buat bangda yang ya. Muala sitasnya adalah, kita gak bisa jadi empatok kan. Pengalaman orang-orang sebelumnya, suatu atran border bisa berubah ke panpun. Dan kalau mau aman ya, selalu seperuang waktu lebih-lebih ya. Karena itu selalu kau roti-litau segara, perabila belumnya tuh kayak diarbit-cerasi dah banyak hal di world prediction. So ya, itu luat update di atu penjara kita yang kletiling roti asian ini, sembunyi informi membantu. Dan kalau kamu ada update atau bernanya itu itu, info di kolom komentar ya. Habis dari Thailand, kami ke langsung jogi melujuk ke Kampuja. Dapat info ini sekarang Kampuja, lagi ada problem dengan border Thailand. Kita belum tahu ya, cuma ada berbaik-baik info katanya, ada border yang aman, ada border conflict. So ya, tunggu habis kami, udah dah."
